example file                                                                   
k1=1.0E13,k2=1.0E13,k3=500000.0,k4=1000.0,k5=1.0,
Iter,Time,a,b,c,d,m,n,p,
47,0.460000E-07,0.798987E-06,0.331326E-06,0.214674E-06,0.136336E-06,0.323386E-07,0.320606E-07,0.277954E-09,
48,0.470000E-07,0.795263E-06,0.328695E-06,0.218305E-06,0.137873E-06,0.334318E-07,0.331375E-07,0.294249E-09,
49,0.480000E-07,0.791566E-06,0.326098E-06,0.221902E-06,0.139370E-06,0.345322E-07,0.342211E-07,0.311078E-09,
50,0.490000E-07,0.787894E-06,0.323533E-06,0.225467E-06,0.140828E-06,0.356392E-07,0.353107E-07,0.328450E-09,
51,0.500000E-07,0.784247E-06,0.321000E-06,0.229000E-06,0.142248E-06,0.367524E-07,0.364060E-07,0.346368E-09,
52,0.510000E-07,0.780627E-06,0.318498E-06,0.232502E-06,0.143631E-06,0.378713E-07,0.375065E-07,0.364836E-09,
53,0.520000E-07,0.777031E-06,0.316027E-06,0.235973E-06,0.144977E-06,0.389958E-07,0.386119E-07,0.383855E-09,
54,0.530000E-07,0.773462E-06,0.313587E-06,0.239413E-06,0.146288E-06,0.401253E-07,0.397219E-07,0.403429E-09,
55,0.540000E-07,0.769917E-06,0.311176E-06,0.242824E-06,0.147564E-06,0.412596E-07,0.408360E-07,0.423560E-09,
56,0.550000E-07,0.766397E-06,0.308795E-06,0.246205E-06,0.148806E-06,0.423982E-07,0.419539E-07,0.444251E-09,
57,0.560000E-07,0.762902E-06,0.306443E-06,0.249557E-06,0.150016E-06,0.435409E-07,0.430754E-07,0.465504E-09,
58,0.570000E-07,0.759432E-06,0.304120E-06,0.252880E-06,0.151193E-06,0.446873E-07,0.442000E-07,0.487320E-09,
59,0.580000E-07,0.755986E-06,0.301824E-06,0.256176E-06,0.152338E-06,0.458377E-07,0.453280E-07,0.509694E-09,
60,0.590000E-07,0.752565E-06,0.299556E-06,0.259444E-06,0.153452E-06,0.469914E-07,0.464588E-07,0.532632E-09,
61,0.600000E-07,0.749167E-06,0.297316E-06,0.262684E-06,0.154536E-06,0.481481E-07,0.475920E-07,0.556137E-09,
62,0.610000E-07,0.745794E-06,0.295102E-06,0.265898E-06,0.155591E-06,0.493076E-07,0.487274E-07,0.580209E-09,
63,0.620000E-07,0.742444E-06,0.292914E-06,0.269086E-06,0.156616E-06,0.504696E-07,0.498647E-07,0.604850E-09,
64,0.630000E-07,0.739119E-06,0.290752E-06,0.272248E-06,0.157614E-06,0.516338E-07,0.510037E-07,0.630061E-09,
65,0.640000E-07,0.735816E-06,0.288616E-06,0.275384E-06,0.158584E-06,0.528000E-07,0.521441E-07,0.655842E-09,
66,0.650000E-07,0.732537E-06,0.286505E-06,0.278495E-06,0.159527E-06,0.539680E-07,0.532858E-07,0.682194E-09,
67,0.660000E-07,0.729281E-06,0.284419E-06,0.281581E-06,0.160444E-06,0.551375E-07,0.544284E-07,0.709119E-09,
68,0.670000E-07,0.726048E-06,0.282357E-06,0.284643E-06,0.161335E-06,0.563083E-07,0.555716E-07,0.736617E-09,
69,0.680000E-07,0.722838E-06,0.280319E-06,0.287681E-06,0.162201E-06,0.574804E-07,0.567157E-07,0.764685E-09,
70,0.690000E-07,0.719651E-06,0.278304E-06,0.290696E-06,0.163042E-06,0.586535E-07,0.578602E-07,0.793324E-09,
71,0.700000E-07,0.716486E-06,0.276313E-06,0.293687E-06,0.163860E-06,0.598274E-07,0.590049E-07,0.822535E-09,
72,0.710000E-07,0.713343E-06,0.274345E-06,0.296655E-06,0.164653E-06,0.610019E-07,0.601496E-07,0.852319E-09,
73,0.720000E-07,0.710222E-06,0.272399E-06,0.299601E-06,0.165424E-06,0.621769E-07,0.612942E-07,0.882675E-09,
74,0.730000E-07,0.707124E-06,0.270476E-06,0.302524E-06,0.166172E-06,0.633520E-07,0.624384E-07,0.913604E-09,
75,0.740000E-07,0.704047E-06,0.268574E-06,0.305426E-06,0.166899E-06,0.645272E-07,0.635821E-07,0.945105E-09,
76,0.750000E-07,0.700992E-06,0.266694E-06,0.308306E-06,0.167604E-06,0.657023E-07,0.647251E-07,0.977179E-09,
77,0.760000E-07,0.697958E-06,0.264835E-06,0.311165E-06,0.168288E-06,0.668772E-07,0.658673E-07,0.100982E-08,
78,0.770000E-07,0.694945E-06,0.262997E-06,0.314003E-06,0.168951E-06,0.680515E-07,0.670085E-07,0.104304E-08,
79,0.780000E-07,0.691954E-06,0.261180E-06,0.316820E-06,0.169595E-06,0.692254E-07,0.681486E-07,0.107683E-08,
80,0.790000E-07,0.688984E-06,0.259383E-06,0.319617E-06,0.170219E-06,0.703987E-07,0.692876E-07,0.111118E-08,
81,0.800000E-07,0.686034E-06,0.257605E-06,0.322395E-06,0.170823E-06,0.715712E-07,0.704251E-07,0.114611E-08,
82,0.810000E-07,0.683105E-06,0.255848E-06,0.325152E-06,0.171409E-06,0.727428E-07,0.715612E-07,0.118160E-08,
83,0.820000E-07,0.680197E-06,0.254110E-06,0.327890E-06,0.171977E-06,0.739133E-07,0.726956E-07,0.121766E-08,
84,0.830000E-07,0.677309E-06,0.252391E-06,0.330609E-06,0.172526E-06,0.750826E-07,0.738283E-07,0.125429E-08,
85,0.840000E-07,0.674441E-06,0.250691E-06,0.333309E-06,0.173058E-06,0.762506E-07,0.749591E-07,0.129148E-08,
86,0.850000E-07,0.671593E-06,0.249010E-06,0.335990E-06,0.173573E-06,0.774171E-07,0.760879E-07,0.132924E-08,
87,0.860000E-07,0.668764E-06,0.247347E-06,0.338653E-06,0.174071E-06,0.785821E-07,0.772145E-07,0.136756E-08,
88,0.870000E-07,0.665956E-06,0.245701E-06,0.341299E-06,0.174553E-06,0.797454E-07,0.783390E-07,0.140645E-08,
89,0.880000E-07,0.663167E-06,0.244074E-06,0.343926E-06,0.175019E-06,0.809071E-07,0.794612E-07,0.144589E-08,
90,0.890000E-07,0.660397E-06,0.242464E-06,0.346536E-06,0.175468E-06,0.820673E-07,0.805814E-07,0.148590E-08,
91,0.900000E-07,0.657646E-06,0.240872E-06,0.349128E-06,0.175902E-06,0.832257E-07,0.816992E-07,0.152645E-08,
92,0.910000E-07,0.654915E-06,0.239297E-06,0.351703E-06,0.176321E-06,0.843821E-07,0.828145E-07,0.156757E-08,
93,0.920000E-07,0.652202E-06,0.237738E-06,0.354262E-06,0.176725E-06,0.855365E-07,0.839272E-07,0.160924E-08,
94,0.930000E-07,0.649507E-06,0.236196E-06,0.356804E-06,0.177115E-06,0.866887E-07,0.850373E-07,0.165147E-08,
95,0.940000E-07,0.646832E-06,0.234671E-06,0.359329E-06,0.177491E-06,0.878387E-07,0.861445E-07,0.169425E-08,
96,0.950000E-07,0.644175E-06,0.233161E-06,0.361839E-06,0.177853E-06,0.889865E-07,0.872489E-07,0.173758E-08,
97,0.960000E-07,0.641536E-06,0.231667E-06,0.364333E-06,0.178201E-06,0.901318E-07,0.883503E-07,0.178146E-08,
98,0.970000E-07,0.638915E-06,0.230189E-06,0.366811E-06,0.178536E-06,0.912746E-07,0.894487E-07,0.182590E-08,
99,0.980000E-07,0.636312E-06,0.228727E-06,0.369273E-06,0.178859E-06,0.924149E-07,0.905440E-07,0.187088E-08,
100,0.990000E-07,0.633727E-06,0.227279E-06,0.371721E-06,0.179168E-06,0.935525E-07,0.916361E-07,0.191640E-08,
101,0.100000E-06,0.631159E-06,0.225847E-06,0.374153E-06,0.179466E-06,0.946875E-07,0.927250E-07,0.196248E-08,
102,0.101000E-06,0.628609E-06,0.224429E-06,0.376571E-06,0.179752E-06,0.958196E-07,0.938105E-07,0.200910E-08,
103,0.102000E-06,0.626077E-06,0.223026E-06,0.378974E-06,0.180026E-06,0.969488E-07,0.948925E-07,0.205626E-08,
104,0.103000E-06,0.623562E-06,0.221637E-06,0.381363E-06,0.180288E-06,0.980750E-07,0.959711E-07,0.210396E-08,
105,0.104000E-06,0.621064E-06,0.220262E-06,0.383738E-06,0.180540E-06,0.991982E-07,0.970460E-07,0.215220E-08,
106,0.105000E-06,0.618583E-06,0.218901E-06,0.386099E-06,0.180781E-06,0.100318E-06,0.981172E-07,0.220099E-08,
107,0.106000E-06,0.616119E-06,0.217554E-06,0.388446E-06,0.181010E-06,0.101436E-06,0.991852E-07,0.225030E-08,
