example file                                                                   
k1=1.0E13,k2=1.0E13,k3=500000.0,k4=1000.0,k5=1.0,
Iter,Time,a,b,c,d,m,n,p,
203,0.202000E-06,0.440092E-06,0.132159E-06,0.569841E-06,0.175773E-06,0.192068E-06,0.182898E-06,0.916954E-08,
204,0.203000E-06,0.438740E-06,0.131580E-06,0.571420E-06,0.175580E-06,0.192840E-06,0.183579E-06,0.926115E-08,
205,0.204000E-06,0.437396E-06,0.131005E-06,0.572995E-06,0.175386E-06,0.193609E-06,0.184256E-06,0.935309E-08,
206,0.205000E-06,0.436060E-06,0.130434E-06,0.574566E-06,0.175191E-06,0.194375E-06,0.184929E-06,0.944537E-08,
207,0.206000E-06,0.434731E-06,0.129868E-06,0.576132E-06,0.174995E-06,0.195137E-06,0.185599E-06,0.953799E-08,
208,0.207000E-06,0.433409E-06,0.129305E-06,0.577695E-06,0.174798E-06,0.195896E-06,0.186266E-06,0.963095E-08,
209,0.208000E-06,0.432094E-06,0.128747E-06,0.579253E-06,0.174600E-06,0.196653E-06,0.186928E-06,0.972423E-08,
210,0.209000E-06,0.430787E-06,0.128193E-06,0.580807E-06,0.174402E-06,0.197406E-06,0.187588E-06,0.981785E-08,
211,0.210000E-06,0.429487E-06,0.127643E-06,0.582357E-06,0.174202E-06,0.198155E-06,0.188244E-06,0.991179E-08,
212,0.211000E-06,0.428194E-06,0.127097E-06,0.583903E-06,0.174001E-06,0.198902E-06,0.188896E-06,0.100061E-07,
213,0.212000E-06,0.426909E-06,0.126554E-06,0.585446E-06,0.173800E-06,0.199646E-06,0.189545E-06,0.101007E-07,
214,0.213000E-06,0.425630E-06,0.126016E-06,0.586984E-06,0.173597E-06,0.200386E-06,0.190191E-06,0.101956E-07,
215,0.214000E-06,0.424358E-06,0.125482E-06,0.588518E-06,0.173393E-06,0.201124E-06,0.190834E-06,0.102908E-07,
216,0.215000E-06,0.423093E-06,0.124952E-06,0.590048E-06,0.173188E-06,0.201859E-06,0.191473E-06,0.103864E-07,
217,0.216000E-06,0.421835E-06,0.124426E-06,0.591574E-06,0.172983E-06,0.202591E-06,0.192109E-06,0.104822E-07,
218,0.217000E-06,0.420583E-06,0.123904E-06,0.593096E-06,0.172776E-06,0.203320E-06,0.192742E-06,0.105784E-07,
219,0.218000E-06,0.419338E-06,0.123385E-06,0.594615E-06,0.172569E-06,0.204046E-06,0.193371E-06,0.106749E-07,
220,0.219000E-06,0.418100E-06,0.122870E-06,0.596130E-06,0.172361E-06,0.204769E-06,0.193998E-06,0.107717E-07,
221,0.220000E-06,0.416869E-06,0.122359E-06,0.597641E-06,0.172152E-06,0.205489E-06,0.194621E-06,0.108689E-07,
222,0.221000E-06,0.415644E-06,0.121851E-06,0.599149E-06,0.171942E-06,0.206207E-06,0.195240E-06,0.109663E-07,
223,0.222000E-06,0.414426E-06,0.121347E-06,0.600653E-06,0.171732E-06,0.206921E-06,0.195857E-06,0.110641E-07,
224,0.223000E-06,0.413215E-06,0.120847E-06,0.602153E-06,0.171522E-06,0.207632E-06,0.196470E-06,0.111621E-07,
225,0.224000E-06,0.412009E-06,0.120350E-06,0.603650E-06,0.171310E-06,0.208340E-06,0.197080E-06,0.112605E-07,
226,0.225000E-06,0.410811E-06,0.119856E-06,0.605144E-06,0.171098E-06,0.209045E-06,0.197686E-06,0.113591E-07,
227,0.226000E-06,0.409618E-06,0.119366E-06,0.606634E-06,0.170886E-06,0.209748E-06,0.198290E-06,0.114581E-07,
228,0.227000E-06,0.408432E-06,0.118880E-06,0.608120E-06,0.170673E-06,0.210447E-06,0.198890E-06,0.115574E-07,
229,0.228000E-06,0.407253E-06,0.118397E-06,0.609603E-06,0.170459E-06,0.211144E-06,0.199487E-06,0.116569E-07,
230,0.229000E-06,0.406079E-06,0.117917E-06,0.611083E-06,0.170245E-06,0.211838E-06,0.200081E-06,0.117568E-07,
231,0.230000E-06,0.404912E-06,0.117440E-06,0.612560E-06,0.170031E-06,0.212529E-06,0.200672E-06,0.118569E-07,
232,0.231000E-06,0.403750E-06,0.116967E-06,0.614033E-06,0.169816E-06,0.213217E-06,0.201259E-06,0.119574E-07,
233,0.232000E-06,0.402595E-06,0.116497E-06,0.615503E-06,0.169601E-06,0.213902E-06,0.201844E-06,0.120581E-07,
234,0.233000E-06,0.401446E-06,0.116031E-06,0.616969E-06,0.169385E-06,0.214584E-06,0.202425E-06,0.121592E-07,
235,0.234000E-06,0.400303E-06,0.115567E-06,0.618433E-06,0.169169E-06,0.215264E-06,0.203003E-06,0.122605E-07,
236,0.235000E-06,0.399166E-06,0.115107E-06,0.619893E-06,0.168953E-06,0.215940E-06,0.203578E-06,0.123621E-07,
237,0.236000E-06,0.398035E-06,0.114649E-06,0.621351E-06,0.168737E-06,0.216614E-06,0.204150E-06,0.124640E-07,
238,0.237000E-06,0.396910E-06,0.114195E-06,0.622805E-06,0.168520E-06,0.217285E-06,0.204719E-06,0.125662E-07,
239,0.238000E-06,0.395790E-06,0.113744E-06,0.624256E-06,0.168303E-06,0.217953E-06,0.205284E-06,0.126687E-07,
240,0.239000E-06,0.394677E-06,0.113295E-06,0.625705E-06,0.168086E-06,0.218618E-06,0.205847E-06,0.127715E-07,
241,0.240000E-06,0.393569E-06,0.112850E-06,0.627150E-06,0.167869E-06,0.219281E-06,0.206406E-06,0.128745E-07,
242,0.241000E-06,0.392467E-06,0.112408E-06,0.628592E-06,0.167652E-06,0.219941E-06,0.206963E-06,0.129778E-07,
243,0.242000E-06,0.391371E-06,0.111968E-06,0.630032E-06,0.167435E-06,0.220597E-06,0.207516E-06,0.130814E-07,
244,0.243000E-06,0.390280E-06,0.111532E-06,0.631468E-06,0.167217E-06,0.221252E-06,0.208066E-06,0.131853E-07,
245,0.244000E-06,0.389195E-06,0.111099E-06,0.632901E-06,0.166997E-06,0.221904E-06,0.208615E-06,0.132894E-07,
246,0.245000E-06,0.388115E-06,0.110669E-06,0.634331E-06,0.166777E-06,0.222554E-06,0.209160E-06,0.133939E-07,
247,0.246000E-06,0.387041E-06,0.110242E-06,0.635758E-06,0.166557E-06,0.223201E-06,0.209703E-06,0.134985E-07,
248,0.247000E-06,0.385972E-06,0.109818E-06,0.637182E-06,0.166337E-06,0.223846E-06,0.210242E-06,0.136035E-07,
249,0.248000E-06,0.384909E-06,0.109396E-06,0.638604E-06,0.166116E-06,0.224488E-06,0.210779E-06,0.137087E-07,
250,0.249000E-06,0.383851E-06,0.108978E-06,0.640022E-06,0.165895E-06,0.225127E-06,0.211313E-06,0.138142E-07,
251,0.250000E-06,0.382798E-06,0.108562E-06,0.641438E-06,0.165674E-06,0.225764E-06,0.211844E-06,0.139200E-07,
252,0.251000E-06,0.381751E-06,0.108149E-06,0.642851E-06,0.165453E-06,0.226398E-06,0.212372E-06,0.140260E-07,
253,0.252000E-06,0.380709E-06,0.107738E-06,0.644262E-06,0.165232E-06,0.227029E-06,0.212897E-06,0.141323E-07,
254,0.253000E-06,0.379672E-06,0.107331E-06,0.645669E-06,0.165011E-06,0.227658E-06,0.213420E-06,0.142388E-07,
255,0.254000E-06,0.378641E-06,0.106926E-06,0.647074E-06,0.164789E-06,0.228285E-06,0.213939E-06,0.143456E-07,
256,0.255000E-06,0.377614E-06,0.106523E-06,0.648477E-06,0.164568E-06,0.228909E-06,0.214456E-06,0.144527E-07,
257,0.256000E-06,0.376593E-06,0.106124E-06,0.649876E-06,0.164346E-06,0.229530E-06,0.214970E-06,0.145600E-07,
258,0.257000E-06,0.375577E-06,0.105726E-06,0.651274E-06,0.164125E-06,0.230149E-06,0.215482E-06,0.146676E-07,
259,0.258000E-06,0.374566E-06,0.105332E-06,0.652668E-06,0.163903E-06,0.230765E-06,0.215990E-06,0.147754E-07,
260,0.259000E-06,0.373560E-06,0.104939E-06,0.654061E-06,0.163681E-06,0.231379E-06,0.216496E-06,0.148835E-07,
261,0.260000E-06,0.372559E-06,0.104550E-06,0.655450E-06,0.163460E-06,0.231991E-06,0.216999E-06,0.149918E-07,
262,0.261000E-06,0.371563E-06,0.104163E-06,0.656837E-06,0.163238E-06,0.232599E-06,0.217499E-06,0.151004E-07,
263,0.262000E-06,0.370572E-06,0.103778E-06,0.658222E-06,0.163017E-06,0.233206E-06,0.217996E-06,0.152093E-07,
264,0.263000E-06,0.369586E-06,0.103395E-06,0.659605E-06,0.162795E-06,0.233810E-06,0.218491E-06,0.153183E-07,
265,0.264000E-06,0.368604E-06,0.103015E-06,0.660985E-06,0.162574E-06,0.234411E-06,0.218983E-06,0.154277E-07,
266,0.265000E-06,0.367628E-06,0.102638E-06,0.662362E-06,0.162353E-06,0.235010E-06,0.219473E-06,0.155373E-07,
267,0.266000E-06,0.366656E-06,0.102262E-06,0.663738E-06,0.162131E-06,0.235606E-06,0.219959E-06,0.156471E-07,
268,0.267000E-06,0.365689E-06,0.101889E-06,0.665111E-06,0.161911E-06,0.236200E-06,0.220443E-06,0.157572E-07,
269,0.268000E-06,0.364727E-06,0.101518E-06,0.666482E-06,0.161690E-06,0.236792E-06,0.220924E-06,0.158675E-07,
270,0.269000E-06,0.363769E-06,0.101150E-06,0.667850E-06,0.161469E-06,0.237381E-06,0.221403E-06,0.159780E-07,
271,0.270000E-06,0.362816E-06,0.100783E-06,0.669217E-06,0.161249E-06,0.237968E-06,0.221879E-06,0.160888E-07,
272,0.271000E-06,0.361868E-06,0.100419E-06,0.670581E-06,0.161029E-06,0.238552E-06,0.222352E-06,0.161999E-07,
273,0.272000E-06,0.360924E-06,0.100057E-06,0.671943E-06,0.160809E-06,0.239133E-06,0.222822E-06,0.163111E-07,
274,0.273000E-06,0.359985E-06,0.996973E-07,0.673303E-06,0.160590E-06,0.239713E-06,0.223290E-06,0.164227E-07,
275,0.274000E-06,0.359050E-06,0.993404E-07,0.674660E-06,0.160369E-06,0.240290E-06,0.223756E-06,0.165344E-07,
276,0.275000E-06,0.358120E-06,0.989858E-07,0.676014E-06,0.160148E-06,0.240866E-06,0.224220E-06,0.166464E-07,
277,0.276000E-06,0.357194E-06,0.986334E-07,0.677367E-06,0.159927E-06,0.241439E-06,0.224681E-06,0.167585E-07,
278,0.277000E-06,0.356273E-06,0.982832E-07,0.678717E-06,0.159707E-06,0.242010E-06,0.225139E-06,0.168710E-07,
279,0.278000E-06,0.355356E-06,0.979350E-07,0.680065E-06,0.159486E-06,0.242579E-06,0.225595E-06,0.169836E-07,
280,0.279000E-06,0.354444E-06,0.975891E-07,0.681411E-06,0.159266E-06,0.243145E-06,0.226048E-06,0.170965E-07,
281,0.280000E-06,0.353536E-06,0.972452E-07,0.682755E-06,0.159046E-06,0.243709E-06,0.226499E-06,0.172096E-07,
282,0.281000E-06,0.352632E-06,0.969034E-07,0.684097E-06,0.158826E-06,0.244271E-06,0.226948E-06,0.173230E-07,
283,0.282000E-06,0.351733E-06,0.965637E-07,0.685436E-06,0.158606E-06,0.244831E-06,0.227394E-06,0.174365E-07,
284,0.283000E-06,0.350838E-06,0.962260E-07,0.686774E-06,0.158386E-06,0.245388E-06,0.227838E-06,0.175503E-07,
285,0.284000E-06,0.349947E-06,0.958903E-07,0.688110E-06,0.158166E-06,0.245943E-06,0.228279E-06,0.176643E-07,
286,0.285000E-06,0.349060E-06,0.955566E-07,0.689443E-06,0.157947E-06,0.246496E-06,0.228718E-06,0.177785E-07,
287,0.286000E-06,0.348178E-06,0.952250E-07,0.690775E-06,0.157728E-06,0.247047E-06,0.229154E-06,0.178930E-07,
288,0.287000E-06,0.347299E-06,0.948953E-07,0.692105E-06,0.157509E-06,0.247596E-06,0.229588E-06,0.180076E-07,
289,0.288000E-06,0.346425E-06,0.945675E-07,0.693432E-06,0.157290E-06,0.248142E-06,0.230020E-06,0.181225E-07,
290,0.289000E-06,0.345555E-06,0.942417E-07,0.694758E-06,0.157072E-06,0.248687E-06,0.230449E-06,0.182376E-07,
291,0.290000E-06,0.344689E-06,0.939178E-07,0.696082E-06,0.156853E-06,0.249229E-06,0.230876E-06,0.183529E-07,
292,0.291000E-06,0.343827E-06,0.935958E-07,0.697404E-06,0.156635E-06,0.249769E-06,0.231300E-06,0.184684E-07,
293,0.292000E-06,0.342969E-06,0.932756E-07,0.698724E-06,0.156418E-06,0.250307E-06,0.231723E-06,0.185842E-07,
294,0.293000E-06,0.342115E-06,0.929573E-07,0.700043E-06,0.156200E-06,0.250843E-06,0.232143E-06,0.187001E-07,
295,0.294000E-06,0.341264E-06,0.926409E-07,0.701359E-06,0.155983E-06,0.251376E-06,0.232560E-06,0.188162E-07,
296,0.295000E-06,0.340418E-06,0.923262E-07,0.702674E-06,0.155766E-06,0.251908E-06,0.232975E-06,0.189326E-07,
297,0.296000E-06,0.339576E-06,0.920134E-07,0.703987E-06,0.155549E-06,0.252438E-06,0.233388E-06,0.190492E-07,
298,0.297000E-06,0.338737E-06,0.917023E-07,0.705298E-06,0.155333E-06,0.252965E-06,0.233799E-06,0.191659E-07,
299,0.298000E-06,0.337903E-06,0.913931E-07,0.706607E-06,0.155117E-06,0.253490E-06,0.234207E-06,0.192829E-07,
300,0.299000E-06,0.337072E-06,0.910855E-07,0.707914E-06,0.154901E-06,0.254014E-06,0.234614E-06,0.194001E-07,
301,0.300000E-06,0.336245E-06,0.907797E-07,0.709220E-06,0.154685E-06,0.254535E-06,0.235017E-06,0.195175E-07,
302,0.301000E-06,0.335421E-06,0.904756E-07,0.710524E-06,0.154470E-06,0.255054E-06,0.235419E-06,0.196351E-07,
303,0.302000E-06,0.334602E-06,0.901731E-07,0.711827E-06,0.154255E-06,0.255571E-06,0.235819E-06,0.197529E-07,
304,0.303000E-06,0.333786E-06,0.898724E-07,0.713128E-06,0.154041E-06,0.256087E-06,0.236216E-06,0.198709E-07,
305,0.304000E-06,0.332974E-06,0.895735E-07,0.714427E-06,0.153827E-06,0.256600E-06,0.236611E-06,0.199891E-07,
306,0.305000E-06,0.332165E-06,0.892766E-07,0.715723E-06,0.153612E-06,0.257111E-06,0.237004E-06,0.201074E-07,
307,0.306000E-06,0.331361E-06,0.889813E-07,0.717019E-06,0.153398E-06,0.257621E-06,0.237395E-06,0.202260E-07,
308,0.307000E-06,0.330560E-06,0.886878E-07,0.718312E-06,0.153184E-06,0.258128E-06,0.237783E-06,0.203448E-07,
309,0.308000E-06,0.329762E-06,0.883959E-07,0.719604E-06,0.152971E-06,0.258634E-06,0.238170E-06,0.204638E-07,
310,0.309000E-06,0.328969E-06,0.881057E-07,0.720894E-06,0.152757E-06,0.259137E-06,0.238554E-06,0.205829E-07,
311,0.310000E-06,0.328178E-06,0.878170E-07,0.722183E-06,0.152544E-06,0.259639E-06,0.238936E-06,0.207023E-07,
312,0.311000E-06,0.327392E-06,0.875301E-07,0.723470E-06,0.152332E-06,0.260138E-06,0.239317E-06,0.208218E-07,
313,0.312000E-06,0.326608E-06,0.872447E-07,0.724755E-06,0.152119E-06,0.260636E-06,0.239695E-06,0.209416E-07,
314,0.313000E-06,0.325829E-06,0.869609E-07,0.726039E-06,0.151907E-06,0.261132E-06,0.240071E-06,0.210615E-07,
315,0.314000E-06,0.325053E-06,0.866787E-07,0.727321E-06,0.151695E-06,0.261626E-06,0.240444E-06,0.211816E-07,
316,0.315000E-06,0.324280E-06,0.863981E-07,0.728602E-06,0.151484E-06,0.262118E-06,0.240816E-06,0.213019E-07,
317,0.316000E-06,0.323511E-06,0.861190E-07,0.729881E-06,0.151273E-06,0.262608E-06,0.241186E-06,0.214224E-07,
318,0.317000E-06,0.322745E-06,0.858415E-07,0.731159E-06,0.151062E-06,0.263097E-06,0.241554E-06,0.215430E-07,
319,0.318000E-06,0.321982E-06,0.855655E-07,0.732435E-06,0.150851E-06,0.263583E-06,0.241920E-06,0.216639E-07,
320,0.319000E-06,0.321223E-06,0.852910E-07,0.733709E-06,0.150641E-06,0.264068E-06,0.242283E-06,0.217849E-07,
321,0.320000E-06,0.320467E-06,0.850180E-07,0.734982E-06,0.150431E-06,0.264551E-06,0.242645E-06,0.219061E-07,
322,0.321000E-06,0.319714E-06,0.847465E-07,0.736253E-06,0.150221E-06,0.265032E-06,0.243005E-06,0.220275E-07,
323,0.322000E-06,0.318965E-06,0.844765E-07,0.737523E-06,0.150012E-06,0.265511E-06,0.243362E-06,0.221491E-07,
324,0.323000E-06,0.318219E-06,0.842080E-07,0.738792E-06,0.149803E-06,0.265989E-06,0.243718E-06,0.222709E-07,
325,0.324000E-06,0.317476E-06,0.839409E-07,0.740059E-06,0.149594E-06,0.266465E-06,0.244072E-06,0.223928E-07,
326,0.325000E-06,0.316737E-06,0.836753E-07,0.741325E-06,0.149386E-06,0.266939E-06,0.244424E-06,0.225149E-07,
327,0.326000E-06,0.316000E-06,0.834111E-07,0.742589E-06,0.149178E-06,0.267411E-06,0.244774E-06,0.226372E-07,
328,0.327000E-06,0.315267E-06,0.831484E-07,0.743852E-06,0.148970E-06,0.267881E-06,0.245122E-06,0.227596E-07,
329,0.328000E-06,0.314537E-06,0.828870E-07,0.745113E-06,0.148763E-06,0.268350E-06,0.245468E-06,0.228823E-07,
330,0.329000E-06,0.313810E-06,0.826271E-07,0.746373E-06,0.148556E-06,0.268817E-06,0.245812E-06,0.230050E-07,
331,0.330000E-06,0.313087E-06,0.823685E-07,0.747631E-06,0.148349E-06,0.269282E-06,0.246154E-06,0.231280E-07,
332,0.331000E-06,0.312366E-06,0.821114E-07,0.748889E-06,0.148143E-06,0.269745E-06,0.246494E-06,0.232512E-07,
333,0.332000E-06,0.311648E-06,0.818556E-07,0.750144E-06,0.147937E-06,0.270207E-06,0.246833E-06,0.233745E-07,
334,0.333000E-06,0.310934E-06,0.816011E-07,0.751399E-06,0.147731E-06,0.270667E-06,0.247169E-06,0.234979E-07,
335,0.334000E-06,0.310222E-06,0.813480E-07,0.752652E-06,0.147526E-06,0.271126E-06,0.247504E-06,0.236216E-07,
336,0.335000E-06,0.309514E-06,0.810964E-07,0.753904E-06,0.147321E-06,0.271582E-06,0.247837E-06,0.237454E-07,
337,0.336000E-06,0.308809E-06,0.808461E-07,0.755154E-06,0.147116E-06,0.272037E-06,0.248168E-06,0.238694E-07,
338,0.337000E-06,0.308106E-06,0.805971E-07,0.756403E-06,0.146912E-06,0.272491E-06,0.248497E-06,0.239935E-07,
339,0.338000E-06,0.307407E-06,0.803495E-07,0.757651E-06,0.146708E-06,0.272942E-06,0.248825E-06,0.241178E-07,
340,0.339000E-06,0.306711E-06,0.801032E-07,0.758897E-06,0.146504E-06,0.273392E-06,0.249150E-06,0.242423E-07,
341,0.340000E-06,0.306017E-06,0.798582E-07,0.760142E-06,0.146301E-06,0.273841E-06,0.249474E-06,0.243670E-07,
342,0.341000E-06,0.305327E-06,0.796144E-07,0.761386E-06,0.146098E-06,0.274287E-06,0.249796E-06,0.244918E-07,
343,0.342000E-06,0.304640E-06,0.793720E-07,0.762628E-06,0.145896E-06,0.274732E-06,0.250116E-06,0.246167E-07,
344,0.343000E-06,0.303955E-06,0.791308E-07,0.763869E-06,0.145693E-06,0.275176E-06,0.250434E-06,0.247418E-07,
345,0.344000E-06,0.303273E-06,0.788909E-07,0.765109E-06,0.145491E-06,0.275618E-06,0.250751E-06,0.248671E-07,
346,0.345000E-06,0.302594E-06,0.786523E-07,0.766348E-06,0.145290E-06,0.276058E-06,0.251066E-06,0.249925E-07,
347,0.346000E-06,0.301918E-06,0.784149E-07,0.767585E-06,0.145088E-06,0.276497E-06,0.251379E-06,0.251181E-07,
348,0.347000E-06,0.301245E-06,0.781788E-07,0.768821E-06,0.144887E-06,0.276934E-06,0.251690E-06,0.252439E-07,
349,0.348000E-06,0.300575E-06,0.779439E-07,0.770056E-06,0.144687E-06,0.277369E-06,0.252000E-06,0.253698E-07,
350,0.349000E-06,0.299907E-06,0.777102E-07,0.771290E-06,0.144487E-06,0.277803E-06,0.252307E-06,0.254958E-07,
351,0.350000E-06,0.299242E-06,0.774777E-07,0.772522E-06,0.144287E-06,0.278236E-06,0.252614E-06,0.256220E-07,
352,0.351000E-06,0.298580E-06,0.772464E-07,0.773754E-06,0.144087E-06,0.278667E-06,0.252918E-06,0.257484E-07,
353,0.352000E-06,0.297921E-06,0.770164E-07,0.774984E-06,0.143888E-06,0.279096E-06,0.253221E-06,0.258749E-07,
354,0.353000E-06,0.297264E-06,0.767875E-07,0.776213E-06,0.143689E-06,0.279524E-06,0.253522E-06,0.260016E-07,
355,0.354000E-06,0.296610E-06,0.765598E-07,0.777440E-06,0.143490E-06,0.279950E-06,0.253821E-06,0.261284E-07,
356,0.355000E-06,0.295959E-06,0.763333E-07,0.778667E-06,0.143292E-06,0.280375E-06,0.254119E-06,0.262553E-07,
357,0.356000E-06,0.295310E-06,0.761079E-07,0.779892E-06,0.143094E-06,0.280798E-06,0.254415E-06,0.263825E-07,
358,0.357000E-06,0.294664E-06,0.758837E-07,0.781116E-06,0.142897E-06,0.281220E-06,0.254710E-06,0.265097E-07,
359,0.358000E-06,0.294021E-06,0.756606E-07,0.782339E-06,0.142700E-06,0.281640E-06,0.255003E-06,0.266371E-07,
360,0.359000E-06,0.293380E-06,0.754387E-07,0.783561E-06,0.142503E-06,0.282059E-06,0.255294E-06,0.267647E-07,
361,0.360000E-06,0.292742E-06,0.752179E-07,0.784782E-06,0.142306E-06,0.282476E-06,0.255583E-06,0.268924E-07,
362,0.361000E-06,0.292107E-06,0.749982E-07,0.786002E-06,0.142110E-06,0.282892E-06,0.255871E-06,0.270202E-07,
363,0.362000E-06,0.291474E-06,0.747797E-07,0.787220E-06,0.141914E-06,0.283306E-06,0.256158E-06,0.271482E-07,
364,0.363000E-06,0.290843E-06,0.745622E-07,0.788438E-06,0.141719E-06,0.283719E-06,0.256443E-06,0.272763E-07,
365,0.364000E-06,0.290216E-06,0.743459E-07,0.789654E-06,0.141524E-06,0.284130E-06,0.256726E-06,0.274046E-07,
366,0.365000E-06,0.289590E-06,0.741307E-07,0.790869E-06,0.141329E-06,0.284540E-06,0.257007E-06,0.275330E-07,
367,0.366000E-06,0.288968E-06,0.739165E-07,0.792083E-06,0.141135E-06,0.284949E-06,0.257287E-06,0.276615E-07,
368,0.367000E-06,0.288348E-06,0.737035E-07,0.793297E-06,0.140941E-06,0.285356E-06,0.257566E-06,0.277902E-07,
369,0.368000E-06,0.287730E-06,0.734915E-07,0.794509E-06,0.140747E-06,0.285762E-06,0.257843E-06,0.279190E-07,
370,0.369000E-06,0.287115E-06,0.732806E-07,0.795719E-06,0.140554E-06,0.286166E-06,0.258118E-06,0.280480E-07,
371,0.370000E-06,0.286502E-06,0.730707E-07,0.796929E-06,0.140361E-06,0.286569E-06,0.258392E-06,0.281771E-07,
372,0.371000E-06,0.285892E-06,0.728619E-07,0.798138E-06,0.140168E-06,0.286970E-06,0.258664E-06,0.283063E-07,
373,0.372000E-06,0.285284E-06,0.726541E-07,0.799346E-06,0.139976E-06,0.287370E-06,0.258934E-06,0.284357E-07,
374,0.373000E-06,0.284679E-06,0.724474E-07,0.800553E-06,0.139784E-06,0.287769E-06,0.259204E-06,0.285652E-07,
375,0.374000E-06,0.284076E-06,0.722417E-07,0.801758E-06,0.139592E-06,0.288166E-06,0.259471E-06,0.286948E-07,
376,0.375000E-06,0.283475E-06,0.720370E-07,0.802963E-06,0.139401E-06,0.288562E-06,0.259737E-06,0.288246E-07,
377,0.376000E-06,0.282877E-06,0.718333E-07,0.804167E-06,0.139210E-06,0.288957E-06,0.260002E-06,0.289545E-07,
378,0.377000E-06,0.282281E-06,0.716306E-07,0.805369E-06,0.139020E-06,0.289350E-06,0.260265E-06,0.290845E-07,
379,0.378000E-06,0.281688E-06,0.714290E-07,0.806571E-06,0.138830E-06,0.289741E-06,0.260527E-06,0.292147E-07,
380,0.379000E-06,0.281096E-06,0.712283E-07,0.807772E-06,0.138640E-06,0.290132E-06,0.260787E-06,0.293450E-07,
381,0.380000E-06,0.280508E-06,0.710286E-07,0.808971E-06,0.138450E-06,0.290521E-06,0.261046E-06,0.294754E-07,
382,0.381000E-06,0.279921E-06,0.708299E-07,0.810170E-06,0.138261E-06,0.290909E-06,0.261303E-06,0.296060E-07,
383,0.382000E-06,0.279337E-06,0.706322E-07,0.811368E-06,0.138073E-06,0.291295E-06,0.261559E-06,0.297367E-07,
384,0.383000E-06,0.278755E-06,0.704354E-07,0.812565E-06,0.137884E-06,0.291680E-06,0.261813E-06,0.298675E-07,
385,0.384000E-06,0.278176E-06,0.702396E-07,0.813760E-06,0.137696E-06,0.292064E-06,0.262066E-06,0.299984E-07,
386,0.385000E-06,0.277598E-06,0.700447E-07,0.814955E-06,0.137509E-06,0.292446E-06,0.262317E-06,0.301295E-07,
387,0.386000E-06,0.277023E-06,0.698508E-07,0.816149E-06,0.137322E-06,0.292828E-06,0.262567E-06,0.302607E-07,
388,0.387000E-06,0.276450E-06,0.696578E-07,0.817342E-06,0.137135E-06,0.293207E-06,0.262815E-06,0.303920E-07,
389,0.388000E-06,0.275880E-06,0.694657E-07,0.818534E-06,0.136948E-06,0.293586E-06,0.263063E-06,0.305234E-07,
390,0.389000E-06,0.275311E-06,0.692746E-07,0.819725E-06,0.136762E-06,0.293963E-06,0.263308E-06,0.306550E-07,
391,0.390000E-06,0.274745E-06,0.690844E-07,0.820916E-06,0.136577E-06,0.294339E-06,0.263552E-06,0.307867E-07,
392,0.391000E-06,0.274181E-06,0.688950E-07,0.822105E-06,0.136391E-06,0.294714E-06,0.263795E-06,0.309185E-07,
393,0.392000E-06,0.273619E-06,0.687066E-07,0.823293E-06,0.136206E-06,0.295087E-06,0.264037E-06,0.310504E-07,
394,0.393000E-06,0.273060E-06,0.685191E-07,0.824481E-06,0.136022E-06,0.295459E-06,0.264277E-06,0.311825E-07,
395,0.394000E-06,0.272502E-06,0.683324E-07,0.825668E-06,0.135838E-06,0.295830E-06,0.264515E-06,0.313146E-07,
396,0.395000E-06,0.271947E-06,0.681467E-07,0.826853E-06,0.135654E-06,0.296200E-06,0.264753E-06,0.314469E-07,
397,0.396000E-06,0.271394E-06,0.679619E-07,0.828038E-06,0.135470E-06,0.296568E-06,0.264989E-06,0.315793E-07,
398,0.397000E-06,0.270843E-06,0.677780E-07,0.829222E-06,0.135287E-06,0.296935E-06,0.265223E-06,0.317118E-07,
399,0.398000E-06,0.270294E-06,0.675950E-07,0.830405E-06,0.135104E-06,0.297301E-06,0.265457E-06,0.318445E-07,
400,0.399000E-06,0.269747E-06,0.674128E-07,0.831587E-06,0.134921E-06,0.297666E-06,0.265689E-06,0.319772E-07,
401,0.400000E-06,0.269202E-06,0.672315E-07,0.832768E-06,0.134739E-06,0.298029E-06,0.265919E-06,0.321101E-07,
402,0.401000E-06,0.268660E-06,0.670511E-07,0.833949E-06,0.134557E-06,0.298391E-06,0.266148E-06,0.322431E-07,
403,0.402000E-06,0.268119E-06,0.668715E-07,0.835128E-06,0.134376E-06,0.298753E-06,0.266376E-06,0.323762E-07,
404,0.403000E-06,0.267580E-06,0.666928E-07,0.836307E-06,0.134195E-06,0.299112E-06,0.266603E-06,0.325094E-07,
405,0.404000E-06,0.267044E-06,0.665149E-07,0.837485E-06,0.134014E-06,0.299471E-06,0.266828E-06,0.326427E-07,
406,0.405000E-06,0.266509E-06,0.663378E-07,0.838662E-06,0.133834E-06,0.299828E-06,0.267052E-06,0.327761E-07,
407,0.406000E-06,0.265977E-06,0.661615E-07,0.839838E-06,0.133654E-06,0.300185E-06,0.267275E-06,0.329097E-07,
408,0.407000E-06,0.265447E-06,0.659861E-07,0.841014E-06,0.133474E-06,0.300540E-06,0.267496E-06,0.330433E-07,
409,0.408000E-06,0.264918E-06,0.658115E-07,0.842188E-06,0.133295E-06,0.300893E-06,0.267716E-06,0.331771E-07,
